model,scenario,region,variable,unit,time,value
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-05,3460.6422317009906
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-06,2883.5421215515503
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromTransmission,W,2021-01-07,2745.6963961221522
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-01,1282.3634984940495
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-02,1367.2594754537447
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-03,1494.793790678394
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-04,1262.7564931083787
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-05,1044.3358214008906
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-06,870.1813502907046
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatLossFromVentilation,W,2021-01-07,828.5829361078684
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-01,4980.397791322747
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-02,5119.1870050361695
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-03,5719.833337176361
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-04,4961.294492493848
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-05,3864.368710506481
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-06,3056.99114655512
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatDemandAccordingToTabula,W,2021-01-07,2829.49406146656
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-01,2184.4130202601355
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-02,3669.1885851296374
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-03,4209.060335195725
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-04,3871.245461260318
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-05,3066.767428681369
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-06,2310.35507788408
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TheoreticalThermalBuildingDemand,W,2021-01-07,2048.7575606521095
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-01,164.68528071327822
