,model,scenario,region,variable,unit,year,value,hash,name,building_id,share_of_maximum_pv_potential,pv_azimuth,pv_tilt,pv_rooftop_capacity_in_kilowatt,pv_rooftop_generation_in_kilowatthour,building_code,norm_heating_load_in_kilowatt,conditioned_floor_area_in_m2,number_of_dwellings_per_building,lpg_households,building_postal_code,building_location,weather_try_region,weather_location
49,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Max flow temperature of heat distribution system,°C,2021,42.9981540249669,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
50,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Max return temperature of heat distribution system,°C,2021,40.74802749579664,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
51,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Max temperature difference of heat distribution system,°C,2021,7.50381132088085,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
52,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Min flow temperature of heat distribution system,°C,2021,17.46061796617796,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
53,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Min return temperature of heat distribution system,°C,2021,17.46061796617796,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
54,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Min temperature difference of heat distribution system,°C,2021,-0.0061305418017134,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
55,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Space heating heat pump electricity from grid,kWh,2021,,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
56,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Number of SH heat pump cycles,-,2021,,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
57,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Seasonal performance factor of SH heat pump,-,2021,,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
58,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Seasonal energy efficiency ratio of SH heat pump,-,2021,,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
59,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Heating output energy of SH heat pump,kWh,2021,,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
60,HiSim_household_cluster_advanced_hp_pv_battery_ems,-3343391901036329_0,06Bad Marienburg,Cooling output energy of SH heat pump,kWh,2021,,-3343391901036329,BuildingPVConfig,DEA_DENW07AL0000vfNm,0.25,5.502600865536484,47.10034252334455,11.32,8458.778,DE.N.SFH.08.Gen.ReEx.001.003,11.16,317,1,['CHR51_Couple_over_65_years_II'],59955,Winterberg,6,BAD_MARIENBURG
